file_name,label
test/a5747399f0cf769448edb9235aa5eb48.wav,neutral
test/5a44792120d7da97ccf9203ad1081440.wav,neutral
test/764358139a534187b705e4d57183d62a.wav,neutral
test/004a426823a579df855997294505e949.wav,neutral
test/a57f038b782d9761618949e0b99c967a.wav,neutral
test/9ff655e56b1d2ae68c8c571b405c5f1e.wav,neutral
test/96f292f01ad08252b7c51b52b508001c.wav,neutral
test/857094940607e1e416d052c5666ccb42.wav,neutral
test/92f3a04f68ae21095b21a9ff2c00b893.wav,neutral
test/3ba0d7f77e618cb39e46f7baacb3d39e.wav,neutral
test/aee68ac0545381b4abc31f8984f810b9.wav,neutral
test/4fa7a0ec1103379096f57bdfb6d69196.wav,neutral
test/18d34ee51482b321a3b98c7107ed78a9.wav,neutral
test/e98002de71dfe29b818a27d1d30fd3de.wav,neutral
test/b5d2590d7104e44352ef0d3cb36c9a8f.wav,neutral
test/6384ca9311ae2348adcd5284e31c58f2.wav,neutral
test/e2abece41a537a7d6d98edeb10f76378.wav,neutral
test/1f46cc984fb35e398142f3e4ba28c2c6.wav,neutral
test/abf452d2b63690bc5831f6eb3d8ffdb4.wav,neutral
test/11be8107fb6b2547bd6bbdc61e34d50a.wav,neutral
test/92624408310c9396fccf43e878bc12ed.wav,neutral
test/51516eb06e96ea0b02e041c4dbe6829b.wav,neutral
test/a4e426e5e8b4825504e83a5a9ae0ef4e.wav,neutral
test/db04f929989a258b2669c68b80bf1bc3.wav,neutral
test/186ceefa5e5a4f93d2032ca740e79cd6.wav,neutral
test/f70cd5d5f91b8ba9def49c02f359c2bb.wav,neutral
test/576a5b82c8864818d2497225459ae618.wav,neutral
test/57d8e8c8b5496693b8c76d50e1d4a258.wav,neutral
test/8888a93373f9628848d0fd1d34909795.wav,neutral
test/28f04072b893c4fa0a1599e80614ec52.wav,neutral
test/45d83d187822bf5b3460b09ed5d221ac.wav,neutral
test/38a1a160488648e8371439a4d7fa82ab.wav,neutral
test/8666653dc4479709f8c3b8a611386baa.wav,neutral
test/e77a6e335f8bdcbb3b5d2370b04d49d5.wav,neutral
test/120b08096c28aeffe6a7ae63390400ed.wav,neutral
test/405ca00f299c3a51a665038d070f636a.wav,neutral
test/e77ac71f23d692667470665efb7820c4.wav,neutral
test/e108568b17e1956084ee43d63d81ca33.wav,neutral
test/0d44a2fff9ca6886473d5e166fb5827c.wav,neutral
test/d5eb303811e097ba814dd76a9419af78.wav,neutral
test/18fa0ab69236e107086389c8d4b032d6.wav,neutral
test/028770521aaf6b79f197704d54a12990.wav,neutral
test/3b1d2ee1d7ce547338b5fb9da754af28.wav,neutral
test/04d6708c1be8ce0d8f6884292f2b520b.wav,neutral
test/f37597a29527d1de5755d7e273c62178.wav,neutral
test/ce8d7e4dc3556dbd0be821a8fd61a865.wav,neutral
test/cd825a191d946ef905f1fd4fc72c5121.wav,neutral
test/444872a1d409a3b5dcbe5d4b1c545721.wav,neutral
test/7c31b1ed28a60f050a1d53bd9c7a2ada.wav,neutral
test/80e61bf740c22815c4bdc85f2ccde18a.wav,neutral
test/09acaf50e44d063bb4446aea05e24147.wav,neutral
test/57002621b546b95b29137d19caeb60e6.wav,neutral
test/e116f969ffb5f472eec19391e8b00745.wav,neutral
test/a0aaecb5089a1f993936a093aae88dab.wav,neutral
test/c83f1c01956e45889ce6e742499e2ecb.wav,neutral
test/c8323bbf1a2ff60bcba18d8200988652.wav,neutral
test/b9009ff978dfa94e0bde7c0f779dd24e.wav,neutral
test/378d2aacd0655b21b95d27e0104493a0.wav,neutral
test/aa6494f94c40f6073f739a3efa20554c.wav,neutral
test/7bc8ca6cc68981927b4a4d814e596a47.wav,neutral
test/3f9ee03912a5901bc5935e5e7e5f2ed8.wav,neutral
test/3d066cd5ee9ceb1ec2517b74e62ac05b.wav,neutral
test/84b106b752edde6a0cddca1401c682aa.wav,neutral
test/b4485bddf0216d4cc99b31ec8a1451af.wav,neutral
test/aed5f63eb19a9a69380a63edea9601dc.wav,neutral
test/7fbef32311c51d21fc2b7bec6bff0e80.wav,neutral
test/1433095b2ee474d80239671bc5a8e95f.wav,neutral
test/f5b95e54ed2ad4896043b305b843b28c.wav,neutral
test/fd45ec4a0b118a82b953cbdeb3f8af98.wav,neutral
test/6d47df7c4ea518f1d2b090b403c290e8.wav,neutral
test/b6287f283c70fb846e1e107fdd989b82.wav,neutral
test/a80529188d4bb113a10321563122d82e.wav,neutral
test/a2f6e3cefc9293c51571928bfaf00b35.wav,neutral
test/f68d0c128fa2166b131b244073e39a80.wav,neutral
test/74bf0c085728c583dbc611d944c986f4.wav,neutral
test/f60dde3589ccf0dd6e12316ed617b898.wav,neutral
